filename,region,latitude,longitude
region_A_IMG_20251223_112024_region_A.jpg,A,31.26173490,34.80436610
region_A_IMG_20251223_113657_region_A.jpg,A,31.26217850,34.80399830
region_A_IMG_20251223_113700_region_A.jpg,A,31.26217850,34.80399830
region_A_IMG_20251223_113703_region_A.jpg,A,31.26201520,34.80411550
region_A_IMG_20251223_113706_region_A.jpg,A,31.26201520,34.80411550
region_A_IMG_20251223_113713_region_A.jpg,A,31.26201520,34.80411550
region_A_IMG_20251223_113716_region_A.jpg,A,31.26201520,34.80411550
region_A_IMG_20251223_113719_region_A.jpg,A,31.26201520,34.80411550
region_A_IMG_20251223_113722_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113736_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113740_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113742_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113745_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113749_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113751_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113755_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113758_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113812_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113821_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113824_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113827_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113831_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113834_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113837_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113840_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113854_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113858_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113902_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113905_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113911_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113914_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113919_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113924_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_113928_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114112_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114116_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114119_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114123_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114126_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114128_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114132_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114135_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114148_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114151_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114153_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114155_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114157_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114159_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114201_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114203_region_A.jpg,A,31.26160440,34.80451810
region_A_IMG_20251223_114240_region_A.jpg,A,31.26169060,34.80447000
region_A_IMG_20251223_114243_region_A.jpg,A,31.26169060,34.80447000
region_A_IMG_20251223_114245_region_A.jpg,A,31.26169060,34.80447000
region_A_IMG_20251223_114247_region_A.jpg,A,31.26169060,34.80447000
region_A_IMG_20251223_114250_region_A.jpg,A,31.26169060,34.80447000
region_A_IMG_20251223_114253_region_A.jpg,A,31.26214740,34.80406430
region_A_IMG_20251223_114254_region_A.jpg,A,31.26214740,34.80406430
region_A_IMG_20251223_114257_region_A.jpg,A,31.26214740,34.80406430
region_A_IMG_20251223_114311_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114315_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114317_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114320_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114322_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114324_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114326_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114329_region_A.jpg,A,31.26217910,34.80407650
region_A_IMG_20251223_114521_region_A.jpg,A,31.26204270,34.80401890
